fetched_at_utc,country,state,city,station,last_update,latitude,longitude,CO,NO2,OZONE,PM10,PM2.5,SO2
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-09-2026 00:00:00,28.531346,77.190156,51.0,18.0,13.0,81.0,44.0,6.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Patparganj, Delhi - DPCC",19-09-2026 00:00:00,28.623763,77.287209,60.0,30.0,14.0,100.0,38.0,6.0
2026-09-18T19:26:40+00:00,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",19-09-2026 00:00:00,28.4417,77.3217,26.0,38.0,15.0,100.0,54.0,2.0
2026-09-18T19:26:40+00:00,India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",19-09-2026 00:00:00,28.376058,77.315741,61.0,31.0,6.0,82.0,76.0,7.0
2026-09-18T19:26:40+00:00,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",19-09-2026 00:00:00,28.39072,77.30059,21.0,25.0,14.0,143.0,65.0,7.0
2026-09-18T19:26:40+00:00,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",19-09-2026 00:00:00,28.422681,77.148944,36.0,22.0,31.0,83.0,52.0,
2026-09-18T19:26:40+00:00,India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",19-09-2026 00:00:00,28.4227,77.0667,10.0,26.0,25.0,79.0,57.0,8.0
2026-09-18T19:26:40+00:00,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",19-09-2026 00:00:00,28.4275,77.1465,16.0,45.0,17.0,94.0,93.0,17.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",19-09-2026 00:00:00,28.6245479,77.3577104,28.0,4.0,25.0,84.0,60.0,
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Noida,"Sector - 125, Noida - UPPCB",19-09-2026 00:00:00,28.5447608,77.3231257,33.0,18.0,37.0,96.0,43.0,12.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",19-09-2026 00:00:00,28.56923,77.393848,67.0,41.0,101.0,118.0,90.0,16.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.646233,77.358075,8.0,15.0,30.0,57.0,53.0,6.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.739153,77.273668,89.0,27.0,17.0,86.0,72.0,9.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Wave City, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.646675,77.489049,99.0,19.0,27.0,,,2.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.757294,77.278792,64.0,31.0,16.0,103.0,53.0,18.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.6603346,77.3572563,51.0,30.0,41.0,,65.0,14.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-09-2026 00:00:00,28.699793,77.165453,57.0,51.0,8.0,137.0,57.0,13.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-09-2026 00:00:00,28.732528,77.11992,48.0,2.0,27.0,79.0,48.0,11.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",19-09-2026 00:00:00,28.493624,77.201159,61.0,21.0,11.0,73.0,19.0,7.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",19-09-2026 00:00:00,28.5512005,77.2735737,54.0,48.0,55.0,98.0,50.0,
2026-09-18T19:26:40+00:00,India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",19-09-2026 00:00:00,28.4501238,77.0263051,57.0,8.0,10.0,44.0,57.0,15.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-09-2026 00:00:00,28.5710274,77.0719006,23.0,25.0,27.0,93.0,38.0,13.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-09-2026 00:00:00,28.498571,77.26484,68.0,33.0,22.0,83.0,37.0,8.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",19-09-2026 00:00:00,28.6514781,77.1473105,59.0,64.0,10.0,62.0,39.0,11.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",19-09-2026 00:00:00,28.656756,77.227234,65.0,31.0,19.0,80.0,72.0,12.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-09-2026 00:00:00,28.56789,77.250515,60.0,27.0,26.0,98.0,80.0,14.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",19-09-2026 00:00:00,28.58028,77.233829,119.0,15.0,38.0,68.0,48.0,60.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-09-2026 00:00:00,28.695381,77.181665,91.0,24.0,7.0,73.0,45.0,41.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.694528,77.494705,35.0,44.0,55.0,7.0,7.0,13.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",19-09-2026 00:00:00,28.685382,77.453839,58.0,24.0,38.0,102.0,53.0,10.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",19-09-2026 00:00:00,28.710508,77.249485,48.0,22.0,16.0,80.0,56.0,15.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",19-09-2026 00:00:00,28.6811736,77.3025234,44.0,50.0,13.0,55.0,68.0,9.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",19-09-2026 00:00:00,28.674045,77.131023,49.0,32.0,24.0,88.0,48.0,22.0
2026-09-18T19:26:40+00:00,India,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",19-09-2026 00:00:00,28.5898,77.3101,43.0,29.0,78.0,91.0,,5.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",19-09-2026 11:00:00,28.594169,77.1251,60.0,10.0,6.0,61.0,29.0,4.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",19-09-2026 11:00:00,28.710508,77.249485,52.0,21.0,12.0,101.0,87.0,15.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",19-09-2026 11:00:00,28.615828,77.271992,71.0,31.0,20.0,90.0,74.0,13.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",19-09-2026 11:00:00,28.62181,77.1944633,67.0,16.0,10.0,73.0,63.0,1.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",19-09-2026 11:00:00,28.60909,77.0325413,21.0,44.0,15.0,76.0,37.0,13.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",19-09-2026 11:00:00,28.4706914,77.1099364,58.0,11.0,15.0,84.0,57.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",19-09-2026 11:00:00,28.5512005,77.2735737,82.0,46.0,33.0,136.0,69.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",19-09-2026 11:00:00,28.7256504,77.2011573,41.0,28.0,36.0,104.0,66.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",19-09-2026 11:00:00,28.5918245,77.2273074,25.0,23.0,23.0,94.0,61.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"JNU, Delhi - DPCC",19-09-2026 11:00:00,28.540721,77.168544,68.0,27.0,14.0,79.0,63.0,5.0
